sp_name;subtribo
Calamus_calospathus;Calaminae
Calamus_castaneus;Calaminae
Calamus_concolor;Calaminae
Calamus_conirostris;Calaminae
Calamus_deerratus;Calaminae
Calamus_dumetosus;Calaminae
Calamus_gracilipes;Calaminae
Calamus_hollrungii;Calaminae
Calamus_melanochaetes;Calaminae
Calamus_nanodendron;Calaminae
Calamus_thysanolepis;Calaminae
Calamus_ursinus;Calaminae
Eleiodoxa_conferta;Salaccinea
Eremospatha_wendlandiana;Ancistrophyllinae
Eugeissona_tristis;Eugeissoninae
Eugeissona_utilis;Eugeissoninae
Korthalsia_cheb;Korthalsiinae
Korthalsia_jala;Korthalsiinae
Laccosperma_acutiflorum;Ancistrophyllinae
Laccosperma_opacum;Ancistrophyllinae
Lepidocaryum_tenue;Mauritiinae
Mauritia_flexuosa;Mauritiinae
Mauritiella_armata;Mauritiinae
Metroxylon_sagu;Metroxylinae
Metroxylon_salomonense;Metroxylinae
Myrialepis_paradoxa;Plectocomiinae
Oncocalamus_mannii;Ancistrophyllinae
Pigafetta_elata;Pigafettinae
Pigafetta_filaris;Pigafettinae
Plectocomia_elongata;Plectocomiinae
Plectocomia_mulleri;Plectocomiinae
Plectocomiopsis_geminiflora;Plectocomiinae
Raphia_farinifera;Raphiinae
Salacca_glabrescens;Salaccinea
Salacca_ramosiana;Salaccinea
Salacca_rupicola;Salaccinea
